"customer_id","store_id","first_name","last_name","email","address_id","activebool","create_date","last_update","active"
537,2,"Clinton","Buford","clinton.buford@sakilacustomer.org",543,True,"2006-02-14","2013-05-26 14:49:45.738",1
541,2,"Darren","Windham","darren.windham@sakilacustomer.org",547,True,"2006-02-14","2013-05-26 14:49:45.738",1
548,1,"Allan","Cornish","allan.cornish@sakilacustomer.org",554,True,"2006-02-14","2013-05-26 14:49:45.738",1
549,1,"Nelson","Christenson","nelson.christenson@sakilacustomer.org",555,True,"2006-02-14","2013-05-26 14:49:45.738",1
551,2,"Clayton","Barbee","clayton.barbee@sakilacustomer.org",557,True,"2006-02-14","2013-05-26 14:49:45.738",1
560,1,"Jordan","Archuleta","jordan.archuleta@sakilacustomer.org",566,True,"2006-02-14","2013-05-26 14:49:45.738",1
561,2,"Ian","Still","ian.still@sakilacustomer.org",567,True,"2006-02-14","2013-05-26 14:49:45.738",1
563,2,"Ken","Prewitt","ken.prewitt@sakilacustomer.org",569,True,"2006-02-14","2013-05-26 14:49:45.738",1
570,2,"Ivan","Cromwell","ivan.cromwell@sakilacustomer.org",576,True,"2006-02-14","2013-05-26 14:49:45.738",1
573,1,"Byron","Box","byron.box@sakilacustomer.org",579,True,"2006-02-14","2013-05-26 14:49:45.738",1
574,2,"Julian","Vest","julian.vest@sakilacustomer.org",580,True,"2006-02-14","2013-05-26 14:49:45.738",1
577,2,"Clifton","Malcolm","clifton.malcolm@sakilacustomer.org",583,True,"2006-02-14","2013-05-26 14:49:45.738",1
580,1,"Ross","Grey","ross.grey@sakilacustomer.org",586,True,"2006-02-14","2013-05-26 14:49:45.738",1
588,1,"Marion","Ocampo","marion.ocampo@sakilacustomer.org",594,True,"2006-02-14","2013-05-26 14:49:45.738",1
593,2,"Rene","Mcalister","rene.mcalister@sakilacustomer.org",599,True,"2006-02-14","2013-05-26 14:49:45.738",1
599,2,"Austin","Cintron","austin.cintron@sakilacustomer.org",605,True,"2006-02-14","2013-05-26 14:49:45.738",1
